Sobreposição de mandatos sem regra de precedência aplicada
contagem: 116

ciro-gomes-gov-ce | Ministro da Fazenda@1994-1995 X Ministro@1994-1995 | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
sergio-vidigal | Deputado Federal@2018 | marcada=false, esperado=true pelo manifesto congelado
sergio-vidigal | Deputado Federal@2014 | marcada=false, esperado=true pelo manifesto congelado
sergio-vidigal | Prefeito@2008 | marcada=false, esperado=true pelo manifesto congelado
washington-reis | Prefeito@2016 | marcada=false, esperado=true pelo manifesto congelado
washington-reis | Deputado Federal@2014 | marcada=false, esperado=true pelo manifesto congelado
washington-reis | Deputado Federal@2010 | marcada=false, esperado=true pelo manifesto congelado
washington-reis | Prefeito@2004 | marcada=false, esperado=true pelo manifesto congelado
confucio-moura | Prefeito@2004 | marcada=false, esperado=true pelo manifesto congelado
confucio-moura | Deputado Federal@2002 | marcada=false, esperado=true pelo manifesto congelado
ricardo-nunes | Prefeito@2021 | marcada=false, esperado=true pelo manifesto congelado
ricardo-nunes | Vice-Prefeito de São Paulo@2020 | marcada=false, esperado=true pelo manifesto congelado
ricardo-nunes | Vereador@2016 | marcada=false, esperado=true pelo manifesto congelado
tarcisio-gov-sp | Ministro da Infraestrutura@2019-2022 X Ministro@2019-2022 | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
tarcisio-gov-sp | Ministro da Infraestrutura@2019-2022 X Ministro@2019-2022 | C1 congelada ainda aparece na lista pública
otaviano-pivetta | Governador em exercício de Mato Grosso@2025 | marcada=false, esperado=true pelo manifesto congelado
otaviano-pivetta | Vice-Governador@2022 | marcada=false, esperado=true pelo manifesto congelado
daniel-vilela | Governador@2026 | marcada=false, esperado=true pelo manifesto congelado
daniel-vilela | Vice-Governador@2022 | marcada=false, esperado=true pelo manifesto congelado
decio-lima | Deputado Federal@2003 | marcada=false, esperado=true pelo manifesto congelado
decio-lima | Prefeito@2000 | marcada=false, esperado=true pelo manifesto congelado
ronaldo-caiado | Governador@2018 | marcada=false, esperado=true pelo manifesto congelado
ronaldo-caiado | Senador@2015 | marcada=false, esperado=true pelo manifesto congelado
gilberto-kassab | Secretário de Governo de São Paulo@2023-atual X Secretário de Governo e Relações Institucionais de São Paulo@2023-atual | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
gilberto-kassab | Secretário de Governo de São Paulo@2023-atual X Secretário de Governo e Relações Institucionais de São Paulo@2023-atual | C1 congelada ainda aparece na lista pública
gilberto-kassab | Ministro da Ciência, Tecnologia, Inovações e Comunicações@2016 | marcada=false, esperado=true pelo manifesto congelado
gilberto-kassab | Ministro da Ciência e Tecnologia@2016 | marcada=false, esperado=true pelo manifesto congelado
roberto-claudio | Prefeito@2017 | marcada=false, esperado=true pelo manifesto congelado
roberto-claudio | Prefeito@2013 | marcada=false, esperado=true pelo manifesto congelado
roberto-claudio | Deputado Estadual@2010 | marcada=false, esperado=true pelo manifesto congelado
marcio-franca | Deputado Federal@2010 | marcada=false, esperado=true pelo manifesto congelado
marcio-franca | Deputado Federal@2006 | marcada=false, esperado=true pelo manifesto congelado
marcio-franca | Prefeito@2000 | marcada=false, esperado=true pelo manifesto congelado
haddad-gov-sp | Ministro da Educação@2005-2011 X ministra(o) da educação do Brasil@2005-2011 | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
haddad-gov-sp | Ministro da Educação@2011-2012 X ministra(o) da educação do Brasil@2011-2012 | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
haddad-gov-sp | Ministro da Educação@2011-2012 X ministra(o) da educação do Brasil@2011-2012 | C1 congelada ainda aparece na lista pública
haddad-gov-sp | Ministro da Educação@2005-2011 X ministra(o) da educação do Brasil@2005-2011 | C1 congelada ainda aparece na lista pública
haddad-gov-sp | Ministro da Fazenda@2023 | marcada=false, esperado=true pelo manifesto congelado
haddad-gov-sp | Ministro@2023 | marcada=false, esperado=true pelo manifesto congelado
acm-neto | Prefeito@2012 | marcada=false, esperado=true pelo manifesto congelado
acm-neto | Deputado Federal@2010 | marcada=false, esperado=true pelo manifesto congelado
david-almeida | Presidente da Assembleia Legislativa do Amazonas@2017-2019 X presidente da Assembléia Legislativa do Amazonas@2017-2019 | C1 congelada mas os dois lados aparecem (ou os dois sumiram)
david-almeida | Presidente da Assembleia Legislativa do Amazonas@2017-2019 X presidente da Assembléia Legislativa do Amazonas@2017-2019 | C1 congelada ainda aparece na lista pública
david-almeida | Deputado Estadual@2014-2018 X presidente da Assembléia Legislativa do Amazonas@2017-2019 | par NOVO, ausente do manifesto congelado
